hot-100 chart from 2021-04-03
-----------------------------
1	Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
2	Up	Cardi B
3	Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
4	Drivers License	Olivia Rodrigo
5	Save Your Tears	The Weeknd
6	Blinding Lights	The Weeknd
7	Levitating	Dua Lipa Featuring DaBaby
8	What's Next	Drake
9	What You Know Bout Love	Pop Smoke
10	Mood	24kGoldn Featuring iann dior
11	34+35	Ariana Grande
12	Go Crazy	Chris Brown & Young Thug
13	Back In Blood	Pooh Shiesty Featuring Lil Durk
14	Calling My Phone	Lil Tjay Featuring 6LACK
15	Therefore I Am	Billie Eilish
16	Anyone	Justin Bieber
17	Astronaut In The Ocean	Masked Wolf
18	You're Mines Still	Yung Bleu Featuring Drake
19	Wants And Needs	Drake Featuring Lil Baby
20	Hold On	Justin Bieber
21	Positions	Ariana Grande
22	You Broke Me First.	Tate McRae
23	Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
24	Best Friend	Saweetie Featuring Doja Cat
25	On Me	Lil Baby
26	Dynamite	BTS
27	Streets	Doja Cat
28	Dakiti	Bad Bunny & Jhay Cortez
29	Heartbreak Anniversary	Giveon
30	No More Parties	Coi Leray Featuring Lil Durk
31	My Ex's Best Friend	Machine Gun Kelly X blackbear
32	Street Runner	Rod Wave
33	For The Night	Pop Smoke Featuring Lil Baby & DaBaby
34	Good Days	SZA
35	What's Your Country Song	Thomas Rhett
36	Without You	The Kid LAROI
37	The Good Ones	Gabby Barrett
38	Whoopty	CJ
39	Put Your Records On	Ritt Momney
40	Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
41	Starting Over	Chris Stapleton
42	Headshot	Lil Tjay, Polo G & Fivio Foreign
43	As I Am	Justin Bieber Featuring Khalid
44	Telepatia	Kali Uchis
45	Cry Baby	Megan Thee Stallion Featuring DaBaby
46	Just The Way	Parmalee x Blanco Brown
47	Better Together	Luke Combs
48	My Head And My Heart	Ava Max
49	Good Time	Niko Moon
50	Willow	Taylor Swift
51	We're Good	Dua Lipa
52	Lady	Brett Young
53	Track Star	Mooski
54	Long Live	Florida Georgia Line
55	Time Today	Moneybagg Yo
56	Lemon Pepper Freestyle	Drake Featuring Rick Ross
57	Heat Waves	Glass Animals
58	Damage	H.E.R.
59	Goosebumps	Travis Scott & HVME
60	Down To One	Luke Bryan
61	Forever After All	Luke Combs
62	Unstable	Justin Bieber Featuring The Kid LAROI
63	Momma's House	Dustin Lynch
64	Off My Face	Justin Bieber
65	Hell Of A View	Eric Church
66	Ghost	Justin Bieber
67	Somebody Like That	Tenille Arts
68	2 Much	Justin Bieber
69	Real As It Gets	Lil Baby Featuring EST Gee
70	Monsters	All Time Low Featuring Demi Lovato & blackbear
71	Body	Megan Thee Stallion
72	Buss It	Erica Banks
73	La Noche de Anoche	Bad Bunny & Rosalia
74	Masterpiece	DaBaby
75	The Business	Tiesto
76	Deserve You	Justin Bieber
77	Wasted On You	Morgan Wallen
78	Made For You	Jake Owen
79	Breaking Up Was Easy In The 90's	Sam Hunt
80	Quicksand	Morray
81	Die For You	Justin Bieber Featuring Dominic Fike
82	Tombstone	Rod Wave
83	Pick Up Your Feelings	Jazmine Sullivan
84	Love You Different	Justin Bieber Featuring BEAM
85	Glad You Exist	Dan + Shay
86	Almost Maybes	Jordan Davis
87	Loved By You	Justin Bieber Featuring Burna Boy
88	You Got It	VEDO
89	Girl Like Me	Black Eyed Peas X Shakira
90	One Too Many	Keith Urban Duet With P!nk
91	Somebody	Justin Bieber
92	Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
93	Nobody	Dylan Scott
94	Famous Friends	Chris Young + Kane Brown
95	Settling Down	Miranda Lambert
96	Sand In My Boots	Morgan Wallen
97	Neighbors	Pooh Shiesty Featuring BIG30
98	Bandido	Myke Towers & Juhn
99	Drankin N Smokin	Future & Lil Uzi Vert
100	Beers And Sunshine	Darius Rucker
